,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,date of arrival
21738,2,0,1,2,Meal Plan 1,0,Room_Type 1,77,Online,0,0,0,80.3,1,Not_Canceled,2018-02-19
21739,2,0,0,2,Meal Plan 1,0,Room_Type 2,238,Online,0,0,0,86.75,0,Canceled,2018-08-05
21740,1,0,0,2,Not Selected,0,Room_Type 1,83,Online,0,0,0,83.59,0,Not_Canceled,2018-05-18
21741,2,0,1,3,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.95,2,Not_Canceled,2018-04-25
21742,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Complementary,0,0,0,6.0,0,Not_Canceled,2017-08-05
21743,2,0,1,2,Meal Plan 1,0,Room_Type 5,32,Online,0,0,0,116.64,0,Not_Canceled,2018-09-02
21744,2,1,2,2,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,133.58,0,Not_Canceled,2018-05-21
21745,2,0,0,3,Meal Plan 1,0,Room_Type 1,188,Offline,0,0,0,80.75,0,Canceled,2018-06-02
21746,2,0,0,3,Meal Plan 1,0,Room_Type 1,109,Online,0,0,0,66.49,1,Not_Canceled,2018-10-25
21747,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,Not_Canceled,2018-10-13
21748,1,2,2,2,Meal Plan 1,0,Room_Type 6,20,Online,0,0,0,231.5,0,Canceled,2018-09-18
21749,2,0,2,5,Meal Plan 1,0,Room_Type 1,150,Offline,0,0,0,41.43,2,Not_Canceled,2018-03-19
21750,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,149.0,0,Not_Canceled,2018-04-30
21751,2,0,0,3,Meal Plan 1,0,Room_Type 4,62,Online,0,0,0,91.48,1,Not_Canceled,2018-04-21
21752,2,1,0,1,Meal Plan 1,0,Room_Type 1,91,Online,0,0,0,135.9,0,Canceled,2018-08-03
21753,3,0,2,4,Meal Plan 2,0,Room_Type 4,85,Online,0,0,0,201.6,1,Not_Canceled,2018-08-19
21754,2,0,0,3,Meal Plan 1,0,Room_Type 1,314,Offline,0,0,0,75.0,0,Canceled,2018-10-12
21755,2,2,2,5,Meal Plan 2,0,Room_Type 6,155,Online,0,0,0,218.03,2,Canceled,2018-07-10
21756,3,0,1,3,Meal Plan 1,0,Room_Type 4,49,Online,0,0,0,120.06,2,Not_Canceled,2018-03-17
21757,1,0,1,1,Meal Plan 1,0,Room_Type 1,6,Corporate,1,0,2,65.0,0,Not_Canceled,2017-10-26
21758,3,0,2,0,Meal Plan 1,0,Room_Type 4,91,Online,0,0,0,168.3,1,Not_Canceled,2018-09-04
21759,1,0,0,1,Meal Plan 1,0,Room_Type 1,182,Offline,0,0,0,120.0,0,Canceled,2018-10-12
21760,2,0,1,3,Meal Plan 1,0,Room_Type 1,101,Offline,0,0,0,72.25,1,Not_Canceled,2018-08-22
21761,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Offline,0,0,0,130.0,0,Canceled,2018-03-25
21762,1,0,0,2,Meal Plan 1,0,Room_Type 4,53,Online,0,0,0,140.4,0,Canceled,2018-06-17
21763,3,0,1,3,Meal Plan 1,0,Room_Type 4,101,Online,0,0,0,119.0,2,Not_Canceled,2018-12-08
21764,2,0,1,4,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,97.92,2,Not_Canceled,2017-10-05
21765,2,0,1,1,Not Selected,0,Room_Type 1,91,Online,0,0,0,116.1,0,Canceled,2018-06-18
21766,3,0,1,4,Meal Plan 1,0,Room_Type 6,14,Online,0,0,0,153.38,1,Not_Canceled,2018-09-14
21767,2,0,2,2,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,103.0,0,Not_Canceled,2018-03-06
21768,1,0,1,2,Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,0,132.0,0,Not_Canceled,2017-10-19
21769,2,0,1,0,Not Selected,0,Room_Type 1,165,Online,0,0,0,103.5,1,Canceled,2018-07-10
21770,2,0,0,4,Meal Plan 1,0,Room_Type 1,49,Offline,0,0,0,71.0,0,Not_Canceled,2017-12-30
21771,2,0,2,3,Meal Plan 1,0,Room_Type 1,6,Offline,0,0,0,58.4,0,Not_Canceled,2017-10-01
21772,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,Corporate,1,0,1,95.0,0,Not_Canceled,2018-05-16
21773,2,1,2,3,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,80.3,1,Not_Canceled,2018-02-05
21774,3,0,1,2,Meal Plan 2,0,Room_Type 4,91,Online,0,0,0,195.0,2,Not_Canceled,2018-07-18
21775,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,Online,0,0,0,105.3,2,Not_Canceled,2018-04-22
21776,1,0,0,1,Not Selected,0,Room_Type 1,8,Online,0,0,0,119.0,0,Not_Canceled,2018-05-25
21777,2,0,1,1,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,105.3,1,Not_Canceled,2018-04-11
21778,1,0,1,0,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,91.0,2,Not_Canceled,2017-11-16
21779,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,Offline,0,0,0,70.0,1,Not_Canceled,2018-04-09
21780,3,0,2,2,Meal Plan 1,0,Room_Type 1,6,Offline,0,0,0,90.2,1,Not_Canceled,2018-02-07
21781,2,0,0,1,Not Selected,0,Room_Type 1,19,Online,0,0,0,99.0,1,Not_Canceled,2018-07-29
21782,2,0,1,2,Meal Plan 1,0,Room_Type 1,5,Offline,0,0,0,90.0,0,Not_Canceled,2017-10-19
21783,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,0,0,0,95.0,0,Canceled,2018-05-13
21784,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Offline,0,0,0,107.0,0,Canceled,2018-09-26
21785,1,0,2,0,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,125.1,1,Not_Canceled,2018-10-02
21786,2,0,0,1,Not Selected,0,Room_Type 1,81,Online,0,0,0,116.1,0,Not_Canceled,2018-05-07
21787,3,0,2,5,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,148.7,2,Not_Canceled,2018-07-18
21788,2,0,2,5,Meal Plan 1,0,Room_Type 1,249,Offline,0,0,0,89.75,0,Not_Canceled,2018-10-14
21789,1,0,0,1,Meal Plan 1,0,Room_Type 1,43,Online,0,0,0,103.42353907649897,0,Not_Canceled,2017-10-23
21790,2,0,0,4,Meal Plan 1,0,Room_Type 4,24,Online,0,0,0,104.61,1,Not_Canceled,2018-05-31
21791,1,0,2,1,Not Selected,0,Room_Type 1,116,Online,0,0,0,79.2,2,Not_Canceled,2018-12-17
21792,1,0,1,3,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,109.25,3,Not_Canceled,2017-09-17
21793,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Offline,0,0,0,115.0,1,Canceled,2018-08-18
21794,2,0,2,2,Meal Plan 1,0,Room_Type 2,231,Online,0,0,0,100.3,1,Canceled,2018-09-11
21795,2,0,2,5,Not Selected,0,Room_Type 1,15,Online,0,0,0,77.35,2,Canceled,2018-11-22
21796,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,0,0,0,101.5,0,Canceled,2017-10-16
21797,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,Online,0,0,0,100.75,0,Canceled,2018-10-16
21798,3,0,0,3,Meal Plan 1,0,Room_Type 4,32,Online,0,0,0,140.7,1,Not_Canceled,2018-04-13
21799,1,0,2,4,Meal Plan 1,0,Room_Type 1,113,Corporate,0,0,0,79.0,0,Canceled,2018-11-13
21800,2,0,2,3,Meal Plan 1,0,Room_Type 1,9,Offline,0,0,0,66.0,0,Not_Canceled,2018-01-24
21801,1,0,1,2,Not Selected,0,Room_Type 1,24,Online,0,0,0,137.83,1,Not_Canceled,2018-11-07
21802,2,1,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,125.0,2,Not_Canceled,2018-11-19
21803,3,0,2,4,Meal Plan 1,0,Room_Type 4,200,Offline,0,0,0,115.6,0,Canceled,2018-09-24
21804,2,0,2,5,Meal Plan 1,0,Room_Type 1,163,Offline,0,0,0,72.25,1,Not_Canceled,2018-08-15
21805,2,0,0,2,Not Selected,0,Room_Type 1,15,Online,0,0,0,79.0,0,Canceled,2018-02-12
21806,2,0,2,2,Meal Plan 1,0,Room_Type 4,117,Online,0,0,0,104.4,2,Not_Canceled,2018-10-28
21807,2,0,2,2,Meal Plan 1,0,Room_Type 1,242,Online,0,0,0,72.25,1,Not_Canceled,2017-11-22
21808,1,0,0,2,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,123.5,0,Not_Canceled,2018-10-26
21809,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,Offline,0,0,0,95.0,0,Canceled,2018-09-26
21810,3,0,0,1,Meal Plan 1,0,Room_Type 4,163,Online,0,0,0,159.3,0,Canceled,2018-09-23
21811,2,0,2,3,Meal Plan 1,0,Room_Type 1,18,Offline,0,0,0,95.0,0,Not_Canceled,2018-09-25
21812,1,0,0,3,Meal Plan 2,0,Room_Type 1,88,Offline,0,0,0,96.0,0,Not_Canceled,2018-05-03
21813,3,0,0,3,Meal Plan 1,0,Room_Type 4,57,Online,0,0,0,140.13,1,Not_Canceled,2018-09-07
21814,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,85.0,0,Not_Canceled,2018-04-19
21815,2,0,2,5,Meal Plan 1,0,Room_Type 1,150,Online,0,0,0,129.6,2,Canceled,2018-09-24
21816,2,1,1,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,120.0,0,Not_Canceled,2018-02-06
21817,2,0,0,3,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,145.0,1,Not_Canceled,2017-09-22
21818,2,2,1,2,Meal Plan 1,0,Room_Type 2,62,Online,0,0,0,139.05,0,Canceled,2018-03-11
21819,3,0,2,5,Meal Plan 1,0,Room_Type 4,144,Online,0,0,0,133.69,0,Canceled,2018-07-09
21820,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,86.0,0,Not_Canceled,2018-02-25
21821,2,0,0,4,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,70.0,0,Not_Canceled,2017-10-07
21822,2,0,1,4,Meal Plan 1,1,Room_Type 4,0,Complementary,0,0,0,103.42353907649897,1,Not_Canceled,2018-09-21
21823,2,0,0,4,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,88.4,2,Not_Canceled,2018-12-07
21824,2,0,2,1,Meal Plan 1,0,Room_Type 2,44,Offline,0,0,0,95.0,0,Not_Canceled,2018-04-23
21825,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,Offline,0,0,0,101.33,1,Canceled,2018-09-21
21826,2,2,0,2,Meal Plan 1,0,Room_Type 6,136,Online,0,0,0,221.3,1,Canceled,2018-08-12
21827,2,0,1,1,Meal Plan 1,0,Room_Type 4,149,Online,0,0,0,114.3,1,Canceled,2018-07-04
21828,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,85.0,0,Not_Canceled,2017-08-13
21829,1,0,0,2,Meal Plan 1,0,Room_Type 1,31,Corporate,0,0,0,70.0,0,Canceled,2018-02-04
21830,1,0,0,2,Meal Plan 1,0,Room_Type 1,58,Online,0,0,0,94.5,1,Not_Canceled,2018-06-22
21831,2,0,2,2,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,94.96,1,Not_Canceled,2017-10-31
21832,2,0,0,4,Meal Plan 1,0,Room_Type 1,66,Online,0,0,0,93.6,2,Not_Canceled,2018-11-02
21833,2,0,0,3,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,176.0,1,Not_Canceled,2018-05-26
21834,2,0,2,1,Meal Plan 2,0,Room_Type 1,103,Offline,0,0,0,94.5,0,Canceled,2017-07-18
21835,2,0,1,2,Meal Plan 1,0,Room_Type 1,126,Online,0,0,0,77.03,1,Not_Canceled,2018-07-25
21836,2,0,0,2,Meal Plan 1,0,Room_Type 7,36,Online,0,0,0,243.9,2,Not_Canceled,2018-09-16
21837,2,0,2,1,Not Selected,0,Room_Type 1,32,Online,0,0,0,88.0,1,Not_Canceled,2018-12-10
21838,2,2,0,1,Meal Plan 1,0,Room_Type 6,5,Online,0,0,0,231.0,0,Canceled,2018-08-03
21839,2,0,0,3,Not Selected,0,Room_Type 1,135,Online,0,0,0,116.1,0,Canceled,2018-06-09
21840,1,0,1,4,Meal Plan 1,0,Room_Type 1,14,Offline,0,0,0,58.0,0,Not_Canceled,2017-12-14
21841,2,0,1,3,Meal Plan 1,0,Room_Type 1,21,Online,0,0,0,88.4,0,Not_Canceled,2018-12-19
21842,2,0,1,2,Not Selected,0,Room_Type 1,43,Online,0,0,0,108.0,2,Not_Canceled,2018-10-10
21843,2,0,0,2,Not Selected,0,Room_Type 1,29,Online,0,0,0,88.0,1,Canceled,2018-11-16
21844,2,0,1,1,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,77.03,1,Not_Canceled,2018-07-16
21845,2,0,0,2,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,97.33,2,Not_Canceled,2017-10-28
21846,2,0,2,2,Not Selected,0,Room_Type 1,27,Online,0,0,0,110.0,1,Not_Canceled,2018-10-28
21847,1,0,2,2,Meal Plan 1,0,Room_Type 1,124,Online,0,0,0,146.03,3,Not_Canceled,2018-11-06
21848,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,0,0,0,115.0,1,Canceled,2018-06-24
21849,2,0,0,4,Meal Plan 1,0,Room_Type 1,79,Online,0,0,0,52.85,2,Not_Canceled,2017-11-18
21850,2,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,79.0,1,Not_Canceled,2018-01-29
21851,2,0,0,2,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,83.39,1,Not_Canceled,2018-11-18
21852,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,Canceled,2018-09-29
21853,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72.0,0,Not_Canceled,2017-10-04
21854,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,138.0,1,Not_Canceled,2018-12-28
21855,2,0,1,2,Meal Plan 1,1,Room_Type 4,43,Online,0,0,0,149.4,1,Not_Canceled,2018-05-09
21856,1,0,1,3,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,199.0,2,Not_Canceled,2018-11-07
21857,2,0,2,2,Meal Plan 1,0,Room_Type 1,219,Online,0,0,0,90.95,2,Not_Canceled,2018-10-22
21858,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,124.0,1,Not_Canceled,2017-08-22
21859,1,0,2,3,Meal Plan 1,0,Room_Type 1,24,Offline,0,0,0,70.0,0,Not_Canceled,2018-08-19
21860,2,0,1,3,Meal Plan 1,0,Room_Type 5,30,Online,0,0,0,137.52,0,Not_Canceled,2018-09-12
21861,2,0,2,2,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,73.88,0,Not_Canceled,2018-03-04
21862,1,0,1,0,Meal Plan 1,0,Room_Type 1,25,Corporate,1,0,1,65.0,1,Not_Canceled,2018-09-05
21863,1,0,2,3,Meal Plan 1,0,Room_Type 1,359,Offline,0,0,0,70.0,0,Not_Canceled,2018-10-14
21864,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,Offline,0,0,0,224.67,0,Canceled,2017-09-23
21865,3,0,0,2,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,159.3,0,Canceled,2018-06-09
21866,2,0,1,2,Not Selected,0,Room_Type 1,58,Online,0,0,0,116.1,1,Not_Canceled,2018-06-10
21867,2,0,2,0,Meal Plan 1,0,Room_Type 1,77,Online,0,0,0,99.9,1,Not_Canceled,2018-10-30
21868,2,0,2,5,Not Selected,0,Room_Type 1,112,Online,0,0,0,95.63,1,Not_Canceled,2018-07-11
21869,2,0,2,2,Meal Plan 1,0,Room_Type 4,62,Online,0,0,0,81.9,1,Not_Canceled,2017-11-15
21870,3,0,0,4,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,187.0,0,Not_Canceled,2018-07-05
21871,2,0,0,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,105.0,3,Not_Canceled,2017-08-11
21872,2,0,1,4,Meal Plan 1,0,Room_Type 4,66,Online,0,0,0,110.84,0,Canceled,2018-12-26
21873,1,0,0,4,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,135.0,0,Not_Canceled,2018-05-11
21874,2,0,2,2,Meal Plan 1,0,Room_Type 1,40,Offline,0,0,0,68.0,0,Not_Canceled,2018-11-26
21875,2,0,0,3,Meal Plan 1,0,Room_Type 1,45,Online,0,0,0,83.3,1,Not_Canceled,2018-02-18
21876,2,1,2,2,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,72.0,1,Not_Canceled,2017-12-05
21877,1,0,2,5,Not Selected,0,Room_Type 1,141,Online,0,0,0,118.8,1,Canceled,2018-09-19
21878,2,0,1,2,Not Selected,0,Room_Type 1,35,Offline,0,0,0,76.5,0,Not_Canceled,2018-06-27
21879,1,0,2,5,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,144.86,1,Not_Canceled,2018-11-06
21880,1,0,2,1,Meal Plan 1,1,Room_Type 1,11,Corporate,1,5,57,67.0,2,Not_Canceled,2018-12-17
21881,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90.0,2,Not_Canceled,2018-10-13
21882,2,0,1,4,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,97.75,1,Canceled,2018-03-23
21883,1,0,0,2,Meal Plan 1,0,Room_Type 1,6,Offline,0,0,0,75.0,0,Not_Canceled,2018-11-23
21884,2,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,89.5,1,Not_Canceled,2018-12-18
21885,3,0,0,3,Meal Plan 1,0,Room_Type 4,34,Online,0,0,0,138.6,1,Not_Canceled,2018-12-14
21886,2,0,2,3,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,73.95,1,Not_Canceled,2018-03-17
21887,2,0,1,1,Meal Plan 1,0,Room_Type 1,54,Offline,0,0,0,75.0,0,Not_Canceled,2018-11-19
21888,3,0,0,2,Meal Plan 1,0,Room_Type 1,69,Online,0,0,0,161.9,1,Not_Canceled,2018-05-18
21889,2,0,2,5,Meal Plan 1,0,Room_Type 1,242,Online,0,0,0,58.36,1,Canceled,2018-12-27
21890,2,0,2,5,Meal Plan 1,1,Room_Type 1,191,Online,0,0,0,99.95,1,Not_Canceled,2018-07-16
21891,3,0,2,1,Meal Plan 1,0,Room_Type 4,62,Online,0,0,0,137.7,2,Not_Canceled,2018-04-24
21892,2,0,0,3,Meal Plan 1,0,Room_Type 1,75,Online,0,0,0,126.9,1,Not_Canceled,2018-06-09
21893,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,0,0,0,101.5,0,Not_Canceled,2017-09-18
21894,2,0,2,1,Meal Plan 1,0,Room_Type 2,320,Online,0,0,0,94.95,1,Not_Canceled,2018-08-20
21895,2,1,0,1,Not Selected,0,Room_Type 1,36,Online,0,0,0,88.0,1,Not_Canceled,2018-12-27
21896,2,0,2,3,Meal Plan 1,0,Room_Type 1,205,Online,0,0,0,90.95,0,Canceled,2018-07-22
21897,2,0,2,1,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,91.0,1,Canceled,2018-02-14
21898,2,0,2,2,Meal Plan 1,0,Room_Type 4,133,Online,0,0,0,118.15,0,Canceled,2018-05-27
21899,2,0,2,5,Meal Plan 1,0,Room_Type 1,194,Online,0,0,0,96.3,0,Canceled,2018-10-22
21900,3,0,0,3,Meal Plan 1,0,Room_Type 5,103,Offline,0,0,0,113.05,1,Not_Canceled,2018-12-27
21901,2,0,2,2,Meal Plan 1,0,Room_Type 4,62,Offline,0,0,0,63.3,0,Not_Canceled,2017-11-01
21902,2,0,2,3,Meal Plan 1,0,Room_Type 4,101,Online,0,0,0,132.6,1,Not_Canceled,2018-05-05
21903,2,0,2,2,Meal Plan 1,0,Room_Type 2,194,Online,0,0,0,81.82,1,Not_Canceled,2018-07-10
21904,2,0,0,1,Meal Plan 1,0,Room_Type 2,180,Online,0,0,0,97.54,1,Not_Canceled,2018-08-20
21905,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,115.8,0,Not_Canceled,2017-09-07
21906,2,0,0,3,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,87.32,1,Not_Canceled,2018-06-21
21907,2,0,0,3,Not Selected,0,Room_Type 1,121,Offline,0,0,0,85.0,0,Not_Canceled,2018-06-16
21908,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,117.04,0,Not_Canceled,2018-10-29
21909,2,0,2,1,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,119.7,0,Not_Canceled,2018-08-21
21910,2,0,1,1,Meal Plan 2,0,Room_Type 1,145,Online,0,0,0,153.0,0,Canceled,2018-10-22
21911,1,0,2,2,Meal Plan 1,0,Room_Type 1,116,Offline,0,0,0,76.0,0,Not_Canceled,2018-02-28
21912,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Offline,0,0,0,110.0,0,Canceled,2018-11-01
21913,2,0,2,3,Meal Plan 1,0,Room_Type 1,84,Online,0,0,0,135.31,1,Canceled,2018-05-22
21914,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,Offline,0,0,0,115.0,0,Canceled,2018-04-19
21915,2,0,1,0,Meal Plan 1,0,Room_Type 1,141,Offline,0,0,0,90.0,0,Not_Canceled,2017-09-20
21916,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,65.0,0,Not_Canceled,2017-08-05
21917,2,0,1,0,Meal Plan 1,1,Room_Type 1,74,Online,0,0,0,135.9,0,Not_Canceled,2018-08-28
21918,2,0,0,1,Not Selected,0,Room_Type 1,46,Online,0,0,0,125.1,2,Not_Canceled,2018-08-17
21919,2,0,2,2,Meal Plan 1,0,Room_Type 1,27,Offline,0,0,0,80.75,1,Not_Canceled,2018-05-29
21920,2,0,1,5,Meal Plan 1,0,Room_Type 4,124,Online,0,0,0,143.1,0,Canceled,2018-09-20
21921,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,0,0,0,95.0,0,Canceled,2018-05-13
21922,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Offline,0,0,0,75.0,0,Canceled,2018-06-17
21923,1,0,1,0,Meal Plan 1,0,Room_Type 1,110,Offline,0,0,0,120.0,0,Not_Canceled,2018-10-09
21924,2,0,0,3,Meal Plan 1,0,Room_Type 1,160,Offline,0,0,0,70.67,0,Not_Canceled,2017-12-30
21925,2,0,0,3,Meal Plan 1,0,Room_Type 4,64,Online,0,0,0,149.4,2,Not_Canceled,2018-09-15
21926,2,0,0,4,Meal Plan 1,0,Room_Type 4,213,Online,0,0,0,118.15,1,Canceled,2018-08-31
21927,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,Offline,0,0,0,108.0,0,Canceled,2017-10-16
21928,2,0,1,4,Meal Plan 2,0,Room_Type 4,101,Online,0,0,0,163.2,1,Not_Canceled,2018-06-01
21929,1,0,0,4,Meal Plan 1,0,Room_Type 4,48,Online,0,0,0,149.4,1,Not_Canceled,2018-08-24
21930,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,Offline,0,0,0,115.0,0,Canceled,2018-04-19
21931,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Offline,0,0,0,110.0,0,Canceled,2018-09-19
21932,2,0,1,1,Not Selected,0,Room_Type 1,36,Online,0,0,0,97.2,0,Canceled,2018-10-03
21933,3,0,0,3,Meal Plan 1,0,Room_Type 1,200,Offline,0,0,0,96.9,1,Canceled,2018-08-09
21934,1,0,0,2,Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,0,90.0,0,Not_Canceled,2017-09-09
21935,2,0,2,1,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,96.6,2,Not_Canceled,2018-10-30
21936,2,0,2,2,Meal Plan 1,1,Room_Type 1,3,Online,0,0,0,112.5,1,Not_Canceled,2018-04-02
21937,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,0,0,0,109.0,0,Not_Canceled,2017-08-14
21938,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,0,0,0,60.0,0,Canceled,2018-02-27
21939,2,0,0,3,Meal Plan 1,0,Room_Type 4,9,Online,0,0,0,129.33,0,Not_Canceled,2018-04-06
21940,2,0,1,2,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,60.0,1,Not_Canceled,2018-01-15
21941,2,0,1,3,Meal Plan 1,1,Room_Type 1,11,Online,0,0,0,114.0,1,Not_Canceled,2018-11-14
21942,3,0,0,5,Meal Plan 1,0,Room_Type 4,142,Online,0,0,0,130.05,0,Canceled,2018-07-12
21943,2,0,2,4,Meal Plan 1,0,Room_Type 1,18,Online,0,0,0,81.35,0,Not_Canceled,2017-10-04
21944,2,0,1,2,Meal Plan 1,0,Room_Type 1,302,Offline,0,0,0,100.0,0,Canceled,2018-09-16
21945,3,0,2,2,Meal Plan 1,0,Room_Type 4,124,Online,0,0,0,130.05,2,Not_Canceled,2018-07-17
21946,2,0,0,1,Not Selected,0,Room_Type 1,4,Online,0,0,0,79.0,0,Not_Canceled,2018-02-12
21947,2,0,1,3,Meal Plan 1,0,Room_Type 4,160,Online,0,0,0,131.4,1,Canceled,2018-09-29
21948,2,0,0,4,Meal Plan 1,0,Room_Type 1,94,Online,0,0,0,90.95,1,Not_Canceled,2018-04-12
21949,2,0,0,1,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,85.5,0,Not_Canceled,2018-06-29
21950,3,0,2,1,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,123.0,1,Not_Canceled,2018-08-28
21951,2,0,2,4,Meal Plan 1,0,Room_Type 1,78,Online,0,0,0,82.45,1,Not_Canceled,2018-03-31
21952,3,0,0,3,Meal Plan 1,0,Room_Type 1,91,Offline,0,0,0,105.4,1,Not_Canceled,2018-06-01
21953,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,107.0,1,Canceled,2018-08-12
21954,1,0,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,0,0,0,66.5,0,Not_Canceled,2018-10-16
21955,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,Offline,0,0,0,85.0,0,Not_Canceled,2017-10-29
21956,2,0,0,1,Meal Plan 1,0,Room_Type 1,157,Online,0,0,0,114.3,0,Canceled,2018-08-13
21957,2,0,1,5,Meal Plan 2,0,Room_Type 1,213,Online,0,0,0,123.25,0,Canceled,2018-08-23
21958,2,0,2,1,Meal Plan 1,0,Room_Type 1,3,Offline,0,0,0,80.0,0,Not_Canceled,2017-12-19
21959,2,0,2,4,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,65.29,1,Not_Canceled,2017-10-17
21960,1,0,0,1,Meal Plan 1,0,Room_Type 1,17,Corporate,0,0,0,67.0,0,Canceled,2018-11-17
21961,2,1,2,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,125.1,1,Not_Canceled,2018-06-26
21962,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,139.5,1,Not_Canceled,2018-10-12
21963,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,97.0,1,Not_Canceled,2018-06-23
